symbol,r2,slope,trend,max_gap_up,annualised_slope,mul,atr,target_percent,included
TATAMOTORS,0.24420673693529626,0.0010023596140608859,1,0.030386008303153515,1.2846218524339628,0.3137133107786737,10.517857142857151,5.64525,0
JSWSTEEL,0.26200781711008947,0.0006968744932425604,1,0.034310267427691915,1.1902435466583365,0.31185311348932165,15.23214285714288,4.8945,0
KOTAKBANK,0.3974386620080599,-0.0009860308774192548,-1,0.026382041330116533,0.781430291516099,0.3105706095127266,23.39642857142855,7.1728,0
LTIM,0.24475542985043175,0.0008667696699932269,1,0.040831340812948355,1.2418454762603277,0.3039484233499106,95.04285714285697,5.4785,0
BPCL,0.44632261636860204,-0.0015464988968899112,1,0.02906498491911166,0.6791427144938751,0.30311675322058085,6.79285714285714,5.0673,0
ICICIBANK,0.24777261309315923,0.0006418036014066333,1,0.022754121937438983,1.1739797040433082,0.2908800189891442,13.703571428571438,6.79385,0
DABUR,0.3204389805114668,-0.0005293501887017425,1,0.026394018556886934,0.8760145435180898,0.2807092072381547,7.889285714285734,6.8052,0
VEDL,0.7574054653942057,-0.004009127526633763,-1,0.024456033087574217,0.3663022723392139,0.2774393430560374,4.860714285714285,4.755,0
MANKIND,0.20897555145788083,0.0011081264412317218,-1,0.09101620875962763,1.3190057466917602,0.2756399532910245,45.85000000000002,3.5131,0
NYKAA,0.3929747152877412,-0.0014212016014253429,1,0.05306561491574045,0.7007857197937795,0.27539106871367525,3.510714285714282,4.0894,0
MUTHOOTFIN,0.20253880242676126,0.0010077180563366024,1,0.0334522560335781,1.286342168479885,0.26053420231495905,23.760714285714275,5.1368,0
M&MFIN,0.4561874012944477,-0.002265102192552098,1,0.04036763380789327,0.5672711594334304,0.25878195605122495,8.28571428571429,3.6197999999999992,0
TITAN,0.21979451961469976,0.000611511288588293,1,0.020142140745906843,1.1651281697713347,0.2560887863644449,40.71785714285709,6.3982,0
HDFCBANK,0.3127631522480029,-0.000818388069665283,1,0.020918212222560104,0.8149074071940273,0.25487300946425084,21.00357142857146,6.493600000000001,0
CONCOR,0.19159801060715798,0.0006404568465082377,1,0.02640056572640835,1.173584758016521,0.22485650491484832,16.23214285714289,4.253399999999999,0
IGL,0.30124089907018914,-0.0012119603609980379,1,0.04282655246252677,0.7384707059755985,0.2224575794050866,10.135714285714288,4.33575,0
PIIND,0.275099407969271,-0.0008652300861592288,-1,0.023840513408677946,0.8054121432076704,0.22156840376769185,71.31428571428569,3.6554999999999995,0
PRESTIGE,0.16911892910399295,0.0010761461693389646,1,0.08143262801135831,1.3085136631626084,0.22129442943200328,24.860714285714305,2.5911999999999997,0
SBICARD,0.25708034533145796,-0.0007545032703263698,-1,0.03039691354416321,0.8280373534158961,0.2128721287635051,13.853571428571424,5.879300000000001,0
DIVISLAB,0.18680383867889339,0.0005208920758099167,1,0.05573082448381733,1.1390437728289362,0.21277774918773468,60.68214285714277,3.6988,0
HINDPETRO,0.3361457339391283,-0.001947235879017764,-1,0.04192045861698312,0.6142928243602601,0.20649191229811967,5.8964285714285705,4.1664,0
ASIANPAINT,0.24180157814055703,-0.0008107177852961887,-1,0.017924766473112762,0.8164728256175972,0.19742441774321481,42.803571428571395,6.4761,0
GODREJPROP,0.15211773075381507,0.0008338967175810278,1,0.04188377418605432,1.2316901165782776,0.18736190552578955,33.63928571428575,3.3865,0
HAVELLS,0.1544120356210672,0.0005626466076231912,1,0.0582676590776415,1.1509896014552154,0.17772664733938068,31.200000000000014,4.35075,0
HCLTECH,0.15049229355436267,0.0006514486278407093,1,0.03938269522685111,1.1768120522803833,0.17710114483009143,20.774999999999995,5.0482,0
SBILIFE,0.15713371317025726,0.0003811646285679576,1,0.0359295228590073,1.0999591040163272,0.17284065834951473,23.824999999999996,5.3658,0
MAXHEALTH,0.2322590020373574,-0.0012645462452304437,1,0.08368939253204546,0.728814079392541,0.1692736307504869,18.27142857142857,3.015,0
ICICIGI,0.14186302959901753,0.0006372142615054847,1,0.037412153782554775,1.1726343883213537,0.166353466939258,26.22500000000004,4.047,0
JUBLFOOD,0.13893022241721498,0.0006990575654548301,1,0.06087129500696234,1.1908928675307693,0.16545101096112472,12.34285714285714,4.2616000000000005,0
BAJAJHLDNG,0.13660367057593148,0.0006149900436864323,-1,0.031216909101042214,1.1661412878510558,0.15929918033059812,113.24642857142842,0.0,0
TIINDIA,0.21878181036816402,-0.0013960605796664442,1,0.050913838120104506,0.7052104606050803,0.1542872212617463,87.47500000000001,3.313,0
APOLLOTYRE,0.2012326390949445,-0.0010920712754674395,-1,0.029695526876331202,0.7609656919789848,0.15313113445764173,8.132142857142858,4.579799999999999,0
MARUTI,0.13145729353354962,0.0005377663944055015,1,0.03575056491904551,1.143856516519967,0.15036828185242887,184.42142857142866,0.0,0
ITC,0.16854235955116526,-0.0006838775498709886,-1,0.027774877310222313,0.8427980799809952,0.14204717702518863,6.360714285714274,6.639749999999999,0
CHOLAFIN,0.17772708695115857,-0.0009548550842003765,1,0.04135488155855661,0.7875504772982719,0.13996905215721642,28.960714285714307,3.5278500000000004,0
SIEMENS,0.11539630184356997,0.0004940821479225255,1,0.03266665752786196,1.131438726736787,0.13056384482802275,71.23214285714282,3.9455999999999998,0
EICHERMOT,0.13847728967387618,-0.0005972437781554125,-1,0.02761616750840453,0.8612628386099767,0.11926534358753861,49.44642857142854,6.7418000000000005,0
BOSCHLTD,0.12920728398978842,-0.00046337207124190363,1,0.022232870406512423,0.8905911125515431,0.11507085879822886,251.36428571428587,0.0,0
INDIGO,0.1347425241905591,-0.0007773027499198861,-1,0.03611028757782386,0.8233274765252505,0.11093722242245554,42.914285714285725,4.947,0
TORNTPHARM,0.08660861901078598,0.000535896517319946,-1,0.03970091269524501,1.1433222104754444,0.09902155773363742,52.3392857142857,1.8727500000000001,0
